Respondent_ID,Age,Gender,City,Income_LPA,Product_Usage,Satisfaction_Score
16461953,30,Male,New Patriciafurt,8,Daily,7
7386938,55,Female,South William,24,Weekly,6
11816926,51,Male,Starkville,8,Weekly,6
16745363,43,Female,Port Barryville,8,Daily,6
9061908,55,Female,Davidstad,8,Weekly,8
787910,49,Male,Garzafort,8,Daily,6
12422817,38,Female,South Emily,8,Monthly,7
564471,55,Female,Port Lorraine,15,Weekly,7
2970698,55,Female,Dianaberg,17,Weekly,6
9226178,55,Female,Douglasfort,8,Monthly,6
10926062,55,Female,Waynefurt,11,Weekly,7
11891957,39,Male,East Benjaminside,8,Monthly,9
3977456,36,Male,Jenniferside,8,Daily,7
9420629,55,Female,Karlastad,9,Weekly,7
12510539,30,Female,New Williamville,8,Daily,7
5467316,53,Female,Ryanland,23,Weekly,9
2750754,55,Female,North Christopher,8,Daily,7
6559134,26,Male,South Jeffery,17,Weekly,8
2519128,55,Female,Stevetown,8,Weekly,6
7479052,43,Male,Lake Jeffrey,8,Daily,6
7607656,45,Female,Clarkport,20,Weekly,6
3843180,49,Female,Johnsonchester,19,Monthly,6
8817115,55,Female,East Kariview,13,Monthly,6
11002892,47,Male,Annamouth,16,Daily,7
14331254,31,Female,West Kenneth,8,Weekly,8
7948188,38,Male,Mccarthyberg,8,Weekly,6
535290,49,Male,Hallside,25,Daily,9
15346209,55,Male,Tracyport,8,Weekly,8
8722665,55,Male,South Richard,8,Daily,6
14315127,55,Female,Lucasville,12,Monthly,8
6479148,42,Male,West Rebeccaborough,13,Daily,9
5966347,55,Male,West Amy,8,Weekly,9
15562115,55,Male,Wangmouth,8,Daily,9
12428198,53,Male,Adamstown,10,Monthly,8
12667483,55,Female,East Courtneyberg,9,Daily,6
4791655,34,Male,Crystaltown,14,Weekly,8
4079660,55,Male,Michellechester,16,Daily,8
12349256,26,Female,Johnmouth,9,Daily,6
11350743,43,Female,Greenhaven,21,Monthly,6
5756700,32,Female,New Christopher,8,Daily,7
16262705,55,Male,Amyburgh,18,Weekly,6
5071631,55,Male,Brownmouth,8,Daily,8
3729097,48,Female,Jenniferhaven,8,Monthly,9
9863538,53,Female,Amberborough,23,Weekly,7
9765097,55,Female,South Rebeccachester,8,Daily,8
2641914,29,Female,West Tammy,8,Weekly,6
10042469,54,Female,East Sethview,8,Daily,6
15188989,37,Female,New Timothyside,8,Monthly,6
11971118,41,Male,Peterfurt,8,Monthly,7
7816191,55,Male,Myersbury,8,Monthly,7
12803836,55,Female,Juliaside,27,Daily,6
11740268,33,Male,West Kelly,9,Weekly,9
11213970,28,Male,North Ericahaven,8,Daily,6
12280120,47,Male,Shellytown,8,Daily,6
828155,37,Male,North Patrick,8,Monthly,7
10342113,42,Female,Lake Troyside,8,Monthly,9
14846830,48,Female,Reynoldston,8,Weekly,6
1355545,29,Female,Davidport,8,Daily,7
3095903,26,Male,West Amanda,25,Weekly,6
12286121,44,Female,East Steven,8,Weekly,7
10543148,50,Male,Macdonaldland,8,Daily,8
6263320,26,Male,Christopherview,8,Weekly,7
6345986,32,Female,Welchmouth,11,Daily,7
4906046,52,Female,Anthonyville,8,Weekly,6
6266231,52,Male,Mayoland,15,Daily,6
2817716,48,Female,Stephensfort,16,Daily,9
15836600,38,Female,Jonathanside,16,Daily,6
460118,55,Male,Port Lisa,19,Monthly,6
6109709,55,Male,East Deborah,20,Weekly,7
7705858,47,Male,East Nicole,8,Weekly,6
15510367,49,Female,Brandymouth,24,Daily,6
12739468,55,Male,Rodgersmouth,8,Daily,6
4479865,55,Female,Smithborough,12,Daily,8
7119189,54,Female,Sullivanfort,8,Daily,6
5774780,38,Male,East Daniel,8,Monthly,6
641037,54,Female,Christopherberg,25,Daily,7
13844300,55,Female,Kennethmouth,20,Weekly,6
885857,26,Male,Franktown,8,Weekly,8
14420223,46,Female,Robertstad,21,Monthly,7
8938001,32,Female,Smithshire,8,Weekly,6
6301858,43,Male,Diazmouth,19,Monthly,6
1512190,47,Female,South Jameschester,17,Weekly,6
3438127,35,Female,Berryville,8,Weekly,6
4849709,39,Female,Leebury,15,Weekly,6
15290029,46,Male,Jamesstad,8,Daily,9
6006807,55,Female,South Melissa,15,Daily,7
2352685,26,Male,Stevefort,8,Daily,8
1187061,51,Female,Deannaland,8,Monthly,6
16743746,50,Female,Reginastad,8,Weekly,6
7594562,30,Male,Andreamouth,13,Daily,8
11209916,55,Female,Russellton,8,Weekly,6
7093000,45,Male,Brownfort,8,Monthly,9
11457651,41,Male,East Andrew,8,Monthly,9
13523720,55,Male,Patriciaview,8,Daily,8
7695947,55,Female,Johnstad,33,Weekly,6
15187813,52,Male,Laurafurt,13,Monthly,8
284623,42,Female,Andreafort,8,Weekly,7
5915801,48,Female,Lake Philip,15,Weekly,6
1772411,42,Male,New Nathanbury,8,Weekly,6
3175656,35,Male,Marthaview,8,Daily,8
14143878,44,Female,Port Michelle,8,Weekly,6
6928141,27,Female,Elizabethberg,8,Daily,7
7121878,40,Female,South Heatherfurt,15,Weekly,8
4966766,43,Female,Lake Meganberg,8,Daily,7
13626738,47,Female,Jennifermouth,8,Daily,6
6741666,38,Male,East Deanbury,17,Monthly,6
15312756,55,Male,Markland,23,Weekly,6
12980747,53,Female,Port Erica,11,Weekly,6
12310592,32,Female,Kelleymouth,13,Daily,6
5484916,51,Female,Michaeltown,17,Daily,9
13077493,26,Female,Mitchellside,8,Daily,7
14163064,47,Female,Goodwinfort,20,Weekly,6
5283767,33,Female,Mooreberg,8,Monthly,6
137988,43,Female,East Elizabethbury,18,Weekly,7
11352787,39,Male,Westchester,11,Monthly,7
15053659,47,Female,Valeriemouth,19,Monthly,8
9008435,55,Female,South Debbie,29,Weekly,7
16077225,55,Female,New Ashleyburgh,8,Weekly,6
8339973,51,Female,Port Cheyenne,8,Daily,6
6904605,43,Female,Williamshaven,16,Monthly,6
691417,48,Female,East Cynthia,17,Monthly,6
5758524,55,Female,North Antonio,9,Monthly,8
16108183,49,Female,Terryborough,19,Daily,7
5445780,45,Male,Brendashire,8,Daily,7
11422983,45,Male,Weavermouth,8,Weekly,7
6155020,43,Female,Lake Christopherville,12,Weekly,6
12817676,43,Female,Kennedyborough,8,Daily,8
10117516,39,Male,Craigburgh,25,Monthly,9
16361927,55,Male,New Jessica,33,Monthly,6
603997,50,Female,Port Roger,20,Weekly,6
8728931,26,Male,New Rebekah,13,Weekly,7
6606104,55,Male,Adamsport,8,Daily,8
12400526,55,Female,New Jasonshire,33,Weekly,7
4223347,55,Female,Port Victoriatown,28,Daily,7
7922816,42,Male,Wilsonton,27,Weekly,8
1634716,55,Female,Thomasburgh,8,Daily,7
9798121,38,Female,Port Alan,27,Monthly,7
3016421,29,Male,Thomasfort,8,Weekly,8
10570164,31,Female,Brockside,15,Monthly,7
3768250,35,Female,Hammondborough,17,Weekly,9
10100143,55,Male,New Melanie,8,Weekly,8
15552565,55,Male,Brewerville,8,Weekly,8
8551844,42,Male,Seanfurt,8,Daily,6
16358236,49,Male,Desireefurt,15,Daily,7
13056480,51,Male,Marymouth,12,Weekly,8
10447425,54,Female,West Thomasborough,9,Monthly,6
7233029,55,Female,Fergusonton,9,Daily,7
1675704,33,Female,New Meganview,8,Daily,6
7237763,52,Male,West Devin,9,Weekly,6
4424847,44,Male,Fischerburgh,10,Daily,8
3323157,55,Female,Port Derrickfurt,35,Weekly,8
7878181,26,Male,New Shawnchester,8,Weekly,9
461280,38,Male,East Sheryl,22,Daily,6
15744047,55,Female,East Angelastad,19,Weekly,9
8696074,55,Female,Lake Robertfort,18,Daily,6
8295017,33,Female,Francismouth,13,Weekly,6
1553341,55,Male,South Ashleyview,14,Daily,7
4482517,55,Female,Kingchester,8,Daily,8
10487071,37,Female,Port John,8,Daily,7
14619687,51,Male,Johnsonport,8,Weekly,9
6698019,53,Male,Lake Mark,8,Weekly,9
16343542,55,Male,Christopherstad,9,Daily,8
2897361,55,Male,Leonburgh,25,Daily,7
1283674,41,Male,Sandovalton,8,Weekly,9
4288462,51,Female,Ryanland,8,Monthly,6
2719610,54,Female,Clarkville,8,Daily,6
9166254,55,Male,West Henrytown,22,Weekly,6
1951678,36,Female,North Kevinmouth,8,Weekly,8
7352491,35,Male,Hudsonport,8,Weekly,6
8435164,30,Female,Brianstad,10,Daily,8
16261250,55,Male,Taylorborough,8,Weekly,7
1062997,55,Male,Lopezland,8,Monthly,9
12795340,55,Male,Lake Aaron,8,Weekly,8
15034820,55,Female,Stoneborough,8,Weekly,6
14326160,35,Male,Chadhaven,8,Weekly,7
1000890,49,Female,Reyesland,8,Daily,6
15969385,50,Female,North Miguel,8,Daily,6
9996437,26,Female,North Garrettbury,8,Weekly,7
3139724,51,Male,New Lorifurt,8,Monthly,6
10694395,40,Female,North Angelbury,31,Daily,9
12106705,33,Female,Lake Daniel,12,Weekly,7
6004426,39,Male,Danielport,8,Daily,7
3680567,41,Male,New Scotthaven,8,Daily,7
14997073,50,Male,East Lisa,8,Monthly,6
3439448,40,Male,West Katherineton,15,Daily,9
6957774,44,Male,Floresburgh,8,Daily,6
576696,44,Male,Stevenfurt,8,Daily,6
7080698,55,Female,Lake Mark,8,Weekly,6
11412481,55,Male,Sparksborough,30,Monthly,7
12200876,55,Female,Michaelville,14,Daily,6
13277867,50,Male,Snyderview,8,Daily,7
10162305,43,Female,Dunnfort,8,Daily,8
9076464,32,Female,West Sarah,14,Monthly,8
12923621,26,Female,Lake Gary,19,Monthly,6
217307,37,Male,West Barbaraport,8,Weekly,9
16184484,52,Male,West Chelseashire,8,Monthly,7
16617580,52,Male,Farleymouth,17,Monthly,6
15060689,36,Male,New Tristan,14,Weekly,7
14644414,54,Male,North Angelica,13,Daily,9
10111062,32,Male,East Kimberlyland,22,Monthly,7
8255560,31,Male,Murphyburgh,8,Daily,6
16573958,55,Male,New Douglas,8,Weekly,7
10794332,55,Female,West Andrew,19,Weekly,6
13022446,46,Female,Andersonberg,8,Weekly,6
1420927,55,Male,New Robert,8,Monthly,9
1518685,50,Female,Barryberg,19,Weekly,7
3351675,55,Male,Carolberg,8,Monthly,6
8858278,55,Female,Port Anitabury,16,Monthly,6
12542627,46,Male,East Nathan,8,Daily,7
11493576,48,Female,Lake Shannonstad,12,Monthly,6
1411636,43,Female,Jacksonside,8,Weekly,6
12862189,55,Male,North Annfort,25,Monthly,6
8153853,55,Female,Lake Curtis,8,Weekly,6
6695275,45,Female,Hopkinsberg,8,Daily,6
7250190,55,Female,West Tiffany,22,Monthly,6
4361200,55,Female,New Angela,8,Weekly,6
8994638,46,Female,Edwardsville,20,Weekly,6
14739711,49,Female,Martinezborough,12,Weekly,6
4937625,50,Female,New Roberto,26,Monthly,6
15980839,40,Female,North David,15,Weekly,7
1070727,55,Male,Cameronborough,8,Daily,6
155321,55,Female,Lake Terri,8,Daily,7
1322980,55,Male,Port Charlesside,8,Monthly,9
4716645,55,Male,North Shannon,8,Daily,6
1191601,26,Male,Port Tony,8,Monthly,8
1059370,50,Female,Goodmouth,8,Weekly,8
10450742,48,Female,Port Sarahaven,20,Weekly,6
12092314,50,Male,Ayalabury,8,Weekly,8
10097650,53,Female,Port Joeburgh,13,Monthly,7
12660135,42,Female,South Cristina,21,Weekly,6
16034356,55,Female,Nguyenside,8,Monthly,6
11436111,38,Female,Ramirezhaven,8,Daily,6
5426855,43,Female,West Lindachester,17,Weekly,6
10605861,55,Female,Henryborough,8,Weekly,6
12504980,49,Male,Pruittmouth,8,Weekly,7
2951400,55,Female,Gregoryberg,8,Monthly,6
5935803,35,Female,Trantown,9,Weekly,6
15187150,53,Male,Lake Debra,23,Daily,6
8491142,47,Male,Jamesbury,8,Weekly,7
6450002,51,Male,Maryborough,8,Weekly,7
8814747,45,Female,Gordonville,8,Daily,6
9521732,55,Female,South Shaneburgh,15,Monthly,7
5394900,54,Female,Angelaburgh,9,Weekly,6
13341955,54,Female,Daughertyborough,18,Monthly,6
10915569,47,Female,Walkerport,12,Daily,7
3670731,54,Male,Lewisville,14,Daily,7
4952579,47,Female,Louisville,9,Daily,6
15900223,48,Male,New Ashley,8,Weekly,9
16038438,53,Male,New Yolanda,8,Monthly,6
9064815,49,Male,West Janiceport,8,Monthly,6
4266180,50,Male,Victoriatown,10,Daily,7
2017067,40,Female,Cindyshire,9,Daily,8
7562293,55,Female,New Jason,9,Monthly,7
4384324,45,Male,Jeffchester,8,Daily,6
5709503,49,Male,Robertton,8,Daily,7
2837589,55,Female,Kellyport,28,Weekly,6
4011371,42,Male,Jenniferfort,8,Monthly,9
5629322,40,Male,East Seanton,18,Monthly,6
8024775,55,Female,Port Susanland,8,Daily,7
5369352,42,Female,Meyerfurt,17,Monthly,9
10384889,55,Female,Dawnborough,8,Daily,6
13532320,54,Female,East Michaelchester,8,Monthly,7
15719129,55,Male,Jimenezton,9,Monthly,6
6484851,36,Male,Hubermouth,8,Weekly,9
11135763,28,Male,Port Emily,8,Weekly,8
15843259,32,Female,Jennyshire,8,Weekly,6
15041800,43,Female,Russellton,8,Daily,7
3732691,35,Male,South Beth,8,Daily,6
8076020,37,Male,Jeremybury,8,Weekly,6
12473847,55,Male,Lake Brandonborough,23,Daily,6
8234273,45,Male,New Brianborough,10,Weekly,7
13577316,39,Male,New Andrewmouth,10,Daily,7
11087756,52,Female,Thomasberg,8,Daily,6
6373263,55,Male,Lloydtown,8,Weekly,6
8046645,30,Male,North Monicafurt,9,Monthly,9
12059661,46,Male,Port Susan,11,Weekly,9
4149911,47,Female,Rodriguezport,8,Monthly,6
14094266,46,Male,West Megan,8,Monthly,9
7000480,41,Male,South Noah,8,Weekly,6
13302725,26,Male,Nelsonton,8,Weekly,7
8694371,31,Female,Hallshire,8,Weekly,7
12498426,55,Female,Port Michelle,8,Daily,6
7471186,36,Female,Julieshire,35,Weekly,7
3069166,53,Female,South Davidmouth,8,Weekly,6
7962085,53,Male,South Derrickberg,8,Weekly,6
3781095,55,Female,Hodgeschester,16,Monthly,6
14540327,45,Male,Port Brianchester,10,Weekly,7
1647271,49,Female,Halltown,9,Weekly,6
881565,55,Male,South Jeremiahfort,8,Weekly,7
7979710,50,Male,Yorkland,8,Weekly,6
5226093,46,Female,South Calvinfort,8,Monthly,7
7827867,55,Male,North Rhonda,8,Daily,9
9817568,54,Male,Rhondaside,8,Daily,6
5232803,45,Male,New Alicia,8,Monthly,7
2473312,47,Male,South Timothymouth,9,Weekly,9
4100815,55,Male,Angelaton,8,Monthly,8
6134059,55,Male,South Steven,8,Weekly,7
14977665,54,Male,New Johnberg,8,Daily,7
9364505,50,Male,Bennettberg,12,Weekly,7
7989727,44,Female,Jenniferview,22,Daily,6
10575267,47,Male,North Christina,10,Monthly,9
6372842,55,Female,Jeremyfurt,8,Monthly,6
14219517,55,Female,Tiffanyborough,8,Daily,7
9363397,55,Male,Wardside,23,Weekly,6
7501910,45,Male,North Carolmouth,8,Monthly,6
13955369,52,Male,Sarahstad,8,Weekly,6
13965932,55,Male,North Jody,8,Monthly,8
7780348,26,Male,North Megan,8,Daily,9
15974449,49,Female,West Jennifer,16,Daily,6
3069901,36,Male,Rossshire,8,Weekly,6
7396334,51,Female,Port Christy,8,Monthly,6
1225105,29,Male,Paulaport,8,Weekly,9
11954909,55,Female,Ortizshire,8,Daily,7
10958800,47,Male,Marquezmouth,10,Weekly,7
355050,52,Female,North Sara,8,Daily,9
4795963,29,Male,West Robertside,18,Daily,7
15529657,55,Female,Lake Stephanieville,8,Weekly,6
3959742,55,Male,North Lindsay,8,Weekly,7
10219260,35,Female,Port Thomasview,8,Monthly,7
13721069,37,Male,Jacksonland,8,Weekly,9
8346300,55,Female,Kerrbury,11,Weekly,6
13852750,55,Female,Lewisfurt,8,Monthly,6
836484,52,Male,Millershire,23,Weekly,8
8978129,55,Female,South Arthurberg,15,Weekly,6
368106,48,Female,West David,8,Daily,8
14798799,26,Female,Brownborough,8,Weekly,6
9250783,38,Female,Schneidertown,8,Weekly,6
880019,34,Male,South Cindy,8,Weekly,8
9112039,55,Female,Ellisview,8,Daily,6
14369652,50,Male,Ashleyside,8,Weekly,6
1999979,49,Male,Durhamshire,31,Monthly,9
5462992,55,Male,Johnsonmouth,8,Weekly,9
1835489,51,Female,Morganton,8,Daily,6
4815209,55,Male,Matthewton,8,Weekly,7
15113957,34,Female,New Michelleview,12,Daily,9
11083691,55,Male,Andreaton,10,Weekly,6
14753061,41,Male,West Davidland,8,Weekly,6
188265,47,Female,Contrerasstad,15,Weekly,8
15396999,55,Female,West Codymouth,15,Weekly,7
4204402,30,Female,Walkermouth,8,Monthly,6
14923428,41,Female,North Davidport,12,Monthly,6
5607890,55,Female,East Shawn,14,Monthly,6
16385489,49,Female,North William,9,Weekly,8
5836354,31,Male,North Michaelport,8,Weekly,9
12462134,48,Male,Ericfurt,8,Daily,9
15585875,46,Male,Lake Sherryland,8,Weekly,8
13904018,26,Male,East Thomas,8,Weekly,6
7023912,43,Female,Morseview,8,Daily,8
7599104,44,Male,North Patricia,9,Daily,6
14443741,50,Female,Roberttown,8,Weekly,7
11882634,55,Female,Lake Robertfurt,8,Weekly,7
371538,31,Male,Justinton,21,Weekly,8
2232104,55,Female,Murphyborough,18,Weekly,7
8212800,45,Female,Margaretfort,19,Weekly,9
9241195,52,Female,New Dylan,8,Weekly,6
4728446,49,Female,Angelamouth,9,Weekly,6
4847449,53,Male,Calebfort,14,Daily,7
15233590,55,Male,Andrestad,8,Daily,6
5238265,50,Female,Lake Kathryn,11,Weekly,6
7474676,54,Male,Mccartymouth,8,Daily,8
8410141,42,Male,North Nathan,8,Weekly,8
4455906,50,Female,West Loriview,8,Daily,6
10971548,45,Male,Floresbury,8,Daily,9
12109748,40,Male,New Lauraburgh,8,Weekly,9
10295907,42,Male,New Jared,8,Weekly,8
7775229,49,Female,Lake Timothyton,8,Monthly,6
7798858,36,Male,New Amandaburgh,8,Weekly,6
1538277,55,Female,East Heidi,10,Weekly,7
4476774,26,Female,Port Kara,13,Weekly,6
3562846,42,Male,East Julie,8,Daily,8
150035,26,Male,Stephanieberg,8,Daily,6
16764906,30,Male,South Douglas,8,Daily,9
6997585,45,Female,Josephland,8,Monthly,8
8554892,41,Male,Steinton,8,Daily,7
13909587,45,Female,North Codyville,21,Daily,6
10128974,55,Female,Port Mike,35,Weekly,7
7452584,51,Female,Michelleton,15,Monthly,8
16298738,50,Female,Robertside,12,Monthly,6
5924207,41,Male,North Heathermouth,8,Monthly,9
1480523,35,Male,New James,17,Weekly,8
1290931,38,Female,North David,16,Weekly,9
11150890,54,Male,South Ginaburgh,8,Daily,8
6222975,26,Female,Atkinsonhaven,14,Monthly,8
16549182,52,Male,Julieview,8,Weekly,9
2863573,45,Male,Lake Holly,8,Weekly,7
14986206,46,Female,Martinburgh,25,Monthly,6
5543327,52,Male,Jacobsonborough,14,Weekly,7
16215470,45,Female,Harrisfort,26,Monthly,6
14574580,47,Female,Terrychester,8,Weekly,6
1855053,38,Female,Williamburgh,21,Monthly,6
16206223,55,Female,Jasonchester,22,Daily,7
15179180,50,Male,Michelleside,8,Monthly,7
7072144,45,Female,South Patrick,19,Weekly,9
4059809,49,Male,Riveraville,8,Daily,8
2797053,26,Male,Donnamouth,8,Daily,8
5196477,51,Female,Carlsonshire,22,Monthly,6
6749426,52,Male,Jillberg,15,Weekly,7
2192743,31,Female,New Glenn,8,Weekly,6
8244703,37,Male,Port Melissa,8,Monthly,8
15170105,42,Male,South Alex,30,Weekly,8
596914,34,Female,Hornfort,12,Weekly,9
8098581,55,Female,Morenotown,14,Weekly,6
16677422,52,Female,Amandaville,26,Weekly,6
5772067,55,Male,Christinaport,8,Daily,8
10711414,55,Male,North Monicaberg,13,Weekly,9
812743,43,Female,Anthonyland,8,Monthly,6
11016231,26,Male,West Joshua,8,Weekly,7
8233827,26,Male,Port Melissaview,8,Weekly,9
7156963,39,Female,Aguirreshire,18,Weekly,7
10857389,55,Male,Andrewmouth,8,Monthly,8
15994707,27,Male,West Brianview,18,Daily,8
1935723,38,Male,East Kyleshire,32,Monthly,7
6528224,26,Male,New Shane,8,Daily,8
14580422,55,Male,Rosalesborough,8,Daily,7
7092870,51,Female,East Nicoleshire,10,Weekly,8
522143,55,Male,Fordchester,8,Monthly,8
16444025,47,Female,Stevensmouth,8,Daily,8
6111154,26,Male,New Albertfurt,8,Daily,6
13313517,42,Female,South Lisa,8,Weekly,7
8345853,33,Male,North Cassandrafurt,8,Weekly,9
9873324,55,Male,North Dana,8,Daily,7
73166,34,Female,Port Robert,35,Weekly,8
381235,34,Male,South Haley,8,Weekly,8
2478278,44,Male,Port Steven,20,Daily,6
8893188,26,Female,North Cindyfurt,8,Daily,7
3412207,26,Male,North Sherry,8,Weekly,8
9396476,33,Male,New Josephtown,8,Weekly,9
14805815,26,Female,Brownborough,8,Monthly,6
16335898,26,Male,Donnaton,8,Weekly,6
1597879,44,Female,Robinsonville,8,Weekly,6
3065815,36,Male,West Kayla,15,Weekly,8
8863052,55,Male,Port Lisabury,10,Daily,6
10486503,36,Male,Philipmouth,8,Daily,9
13933439,26,Female,South Mario,8,Weekly,7
1451149,47,Male,Ramireztown,8,Weekly,9
5812098,55,Female,Rioshaven,8,Weekly,8
6819102,39,Female,Port Julia,26,Monthly,7
11976683,41,Female,New Austin,13,Monthly,7
10591912,44,Male,Pooleshire,8,Monthly,8
12196788,53,Female,Williamsfort,8,Daily,6
5604710,55,Female,North Jacob,8,Daily,8
10749545,50,Male,Blairfort,8,Weekly,8
11323095,55,Female,Russellstad,8,Weekly,6
4561088,42,Male,South Timothy,21,Monthly,8
8624246,33,Female,North Jason,22,Weekly,6
3895676,34,Male,Williamsmouth,24,Weekly,9
737081,27,Female,Dylanfurt,12,Monthly,8
4732185,33,Female,New Jessicastad,13,Weekly,7
8457590,40,Male,West Edward,8,Weekly,9
2230730,43,Female,New Brandyview,8,Daily,8
1824610,52,Male,Port Scottburgh,8,Daily,8
3584259,48,Female,Joychester,16,Daily,8
4484320,46,Female,West Elizabeth,10,Weekly,6
8577760,55,Male,Lake Chelsea,8,Weekly,7
4865990,55,Male,Annetteborough,17,Weekly,7
8661594,49,Male,Jenniferhaven,8,Daily,8
10857411,45,Male,North Michael,8,Daily,7
10335433,55,Male,East Joseph,8,Daily,7
5928675,26,Male,South Ryan,8,Daily,7
1722305,53,Female,Rhondatown,12,Weekly,6
13655871,55,Female,Higginsfort,8,Daily,7
3223434,55,Male,West Christina,12,Monthly,8
15848969,55,Male,South Janice,8,Monthly,8
16333092,47,Female,Lake Vickiebury,9,Monthly,6
14233033,55,Female,North Janet,8,Weekly,8
14029828,47,Male,Monicabury,8,Daily,9
7629864,40,Male,North William,8,Weekly,9
13086698,55,Female,South Natashaburgh,16,Monthly,6
1688671,39,Female,Mossberg,35,Daily,8
12180389,54,Female,Gordonside,8,Daily,6
918258,53,Female,Brittanyview,34,Weekly,6
10854247,55,Female,Goodville,8,Daily,6
2308733,30,Female,Brownport,8,Monthly,6
15341562,55,Female,North Kimberlyborough,8,Monthly,6
11853751,55,Female,Port Matthew,15,Daily,7
6417075,42,Male,West David,8,Daily,7
4726082,30,Male,Larabury,8,Daily,8
7966727,55,Female,East Zacharymouth,15,Weekly,6
16051640,46,Female,Michealfurt,8,Weekly,9
1976917,55,Female,New Elizabethmouth,10,Weekly,6
5806549,40,Female,Julieshire,8,Monthly,7
9229356,42,Female,Brennanchester,10,Weekly,6
4885403,48,Female,North Janet,11,Daily,8
6668053,41,Male,Devinberg,8,Daily,6
208338,37,Female,Kylieburgh,10,Weekly,7
9228196,55,Female,Acostaville,16,Daily,6
549855,37,Female,Mcgeeland,19,Monthly,6
6417606,52,Male,Williemouth,10,Weekly,8
5146618,49,Male,North Desiree,8,Daily,6
16419927,41,Male,Vanessamouth,8,Weekly,8
1424411,37,Female,West Charles,8,Weekly,8
15359926,55,Male,Anitaburgh,8,Monthly,6
1829164,55,Male,Mooreview,8,Daily,9
245376,55,Male,East Erica,19,Daily,9
14805227,49,Female,Richardsonborough,8,Monthly,8
9400877,43,Female,Port Michael,15,Weekly,7
